object,url
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A0_2019.8.5.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A0_2019.8.5.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A1_2019.8.5.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A1_2019.8.5.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A2_2019.8.6.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A2_2019.8.6.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A3_2019.8.6.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A3_2019.8.6.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A4_20199.8.7.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A4_20199.8.7.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A5_2019.8.7.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A5_2019.8.7.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A6_2019.8.8.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A6_2019.8.8.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A7_2019.8.8.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A7_2019.8.8.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A8_2019.8.9.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A8_2019.8.9.mp3
Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A9_2019.8.9.mp3,https://jie-shen-courses.oss-cn-beijing.aliyuncs.com/Numerical%20methods%20for%20Navier-Stokes%20equations%20and%20phase-field%20models__%E2%85%A9_2019.8.9.mp3